#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CADHBV010000001.1:303576-304196|- -            207 1502854at2           -            192   7.3e-67  221.2   0.0   1   1   7.6e-69   8.6e-67  221.0   0.0     7   185     6   183     1   189 0.97 NZ_CADHBV010000001.1_281 # 303576 # 304196 # -1 # ID=1_281;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.378
NZ_CADHBV010000004.1:41630-43231|+   -            534 1502854at2           -            192   3.2e-06   23.4   1.7   1   3     0.032       3.5    3.7   0.0     7    28    28    49    24    61 0.82 NZ_CADHBV010000004.1_40 # 41630 # 43231 # 1 # ID=4_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.420
NZ_CADHBV010000004.1:41630-43231|+   -            534 1502854at2           -            192   3.2e-06   23.4   1.7   2   3    0.0081      0.91    5.6   0.1    97   160   221   284   193   300 0.84 NZ_CADHBV010000004.1_40 # 41630 # 43231 # 1 # ID=4_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.420
NZ_CADHBV010000004.1:41630-43231|+   -            534 1502854at2           -            192   3.2e-06   23.4   1.7   3   3   0.00013     0.015   11.4   0.0     9    30   350   371   344   383 0.83 NZ_CADHBV010000004.1_40 # 41630 # 43231 # 1 # ID=4_40;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.420
NZ_CADHBV010000001.1:884-3109|+      -            742 1502854at2           -            192   0.00056   16.1   0.0   1   2     0.024       2.7    4.1   0.0    10    27   201   218   194   226 0.85 NZ_CADHBV010000001.1_4 # 884 # 3109 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CADHBV010000001.1:884-3109|+      -            742 1502854at2           -            192   0.00056   16.1   0.0   2   2   0.00061     0.069    9.2   0.0     9    27   479   497   473   505 0.85 NZ_CADHBV010000001.1_4 # 884 # 3109 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
NZ_CADHBV010000001.1:428417-429793|+ -            459 1502854at2           -            192   0.00077   15.6   1.2   1   2       4.4     5e+02   -3.4   0.1   130   143   143   155   128   185 0.56 NZ_CADHBV010000001.1_400 # 428417 # 429793 # 1 # ID=1_400;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.393
NZ_CADHBV010000001.1:428417-429793|+ -            459 1502854at2           -            192   0.00077   15.6   1.2   2   2   9.8e-06    0.0011   15.1   0.1     4    31   253   280   251   286 0.88 NZ_CADHBV010000001.1_400 # 428417 # 429793 # 1 # ID=1_400;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.393
NZ_CADHBV010000002.1:57571-60396|-   -            942 1502854at2           -            192     0.001   15.2   0.1   1   2    0.0047      0.53    6.3   0.0     5    24    29    48    27    66 0.83 NZ_CADHBV010000002.1_48 # 57571 # 60396 # -1 # ID=2_48;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_CADHBV010000002.1:57571-60396|-   -            942 1502854at2           -            192     0.001   15.2   0.1   2   2     0.006      0.68    6.0   0.0     6    25   630   649   628   661 0.84 NZ_CADHBV010000002.1_48 # 57571 # 60396 # -1 # ID=2_48;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.404
NZ_CADHBV010000001.1:228750-230300|- -            517 1502854at2           -            192    0.0017   14.5   0.2   1   2     0.001      0.11    8.5   0.0     9    32    30    53    25    57 0.85 NZ_CADHBV010000001.1_215 # 228750 # 230300 # -1 # ID=1_215;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.410
